line_qual,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Prof#
0,56.739,166.62,0.387,7.8088e-05,5.0566000000000003e-05,,,0.00043218,0.00012693,,,26.17,57.785,126.64200000000001,1403
0,50.071999999999996,164.548,0.401,1.635e-05,1.8287e-05,,,0.00067528,0.00010766,,,27.241999999999997,57.818999999999996,126.693,1403
0,44.188,162.924,0.426,3.7221e-06,5.3035e-06,,,0.00065152,9.1244e-05,,,28.303,57.852,126.744,1403
0,38.996,161.737,0.506,8.809100000000001e-07,3.5121e-06,,,0.00025836,9.3234e-05,,,29.355,57.88399999999999,126.794,1403
0,34.414,160.889,0.41700000000000004,1.7006e-07,4.0687e-06,,,3.3147e-05,9.392600000000001e-05,,,30.401,57.917,126.845,1403
0,30.37,160.26,0.29600000000000004,3.2078000000000004e-08,1.7690000000000001e-06,,,2.3380000000000003e-06,5.9422e-05,,,31.443,57.949,126.896,1403
0,26.802,159.776,0.22699999999999998,6.530100000000001e-09,1.0401e-06,,,2.7857e-07,2.2289e-05,,,32.482,57.982,126.946,1403
0,23.651999999999997,159.39600000000002,0.207,1.5902e-09,1.0295e-06,,,5.3464e-08,6.0607e-06,,,33.519,58.013999999999996,126.99700000000001,1403
0,20.873,159.096,0.235,1e-09,1.0295e-06,,,1.091e-08,1.6924e-06,,,34.554,58.04600000000001,127.04799999999999,1403
0,18.42,158.842,0.218,1e-09,1.0295e-06,,,1e-09,1.0107e-06,,,35.588,58.07899999999999,127.098,1403
0,16.256,158.584,0.19699999999999998,1e-09,1.0295e-06,,,1e-09,1.0107e-06,,,36.621,58.111000000000004,127.149,1403
0,14.345999999999998,158.292,0.18899999999999997,,,,,,,,,37.653,58.144,127.20100000000001,1403
0,12.66,157.947,0.20800000000000002,,,,,,,,,38.684,58.176,127.25200000000001,1403
0,11.173,157.561,0.222,,,,,,,,,39.711999999999996,58.208,127.303,1403
0,9.8597,157.162,0.19399999999999998,,,,,,,,,40.739000000000004,58.24100000000001,127.355,1403
0,8.7012,156.763,0.183,,,,,,,,,41.763999999999996,58.273,127.406,1403
0,7.6788,156.368,0.19699999999999998,,,,,,,,,42.787,58.305,127.458,1403
0,6.7765,155.995,0.25,,,,,,,,,43.806999999999995,58.336999999999996,127.509,1403
0,5.9802,155.704,0.299,,,,,,,,,44.827,58.37,127.561,1403
0,5.2775,155.588,0.32899999999999996,,,,,,,,,45.845,58.402,127.613,1403
0,4.6574,155.711,0.359,,,,,,,,,46.864,58.434,127.665,1403
0,4.1101,156.07299999999998,0.41700000000000004,,,,,,,,,47.886,58.467,127.71799999999999,1403
0,3.6272,156.53,0.49700000000000005,,,,,,,,,48.91,58.498999999999995,127.771,1403
0,3.201,156.78,0.563,,,,,,,,,49.938,58.532,127.824,1403
0,2.8249,156.55100000000002,0.635,,,,,,,,,50.966,58.565,127.87700000000001,1403
0,2.4929,155.722,0.741,,,,,,,,,51.992,58.598,127.931,1403
0,2.2,154.398,0.882,,,,,,,,,53.011,58.63,127.984,1403
0,1.9415,152.931,1.004,,,,,,,,,54.021,58.662,128.037,1403
0,1.7134,151.683,1.1059999999999999,,,,,,,,,55.023,58.693999999999996,128.09,1403
